MONTH,PRODUCTION
APR,3893171.579058807
AUG,2302623.194542435
DEC,8409871.76822252
FEB,9045275.041683912
JAN,9700486.339114582
JUL,2025642.5189741503
JUN,1931956.8238089208
MAR,6101602.35001576
MAY,2544381.0526117156
NOV,6562977.103992039
OCT,6008244.863170081
SEP,2865291.025012585
APR,4570056.860378111
AUG,3594035.110594732
DEC,9638242.439746974
FEB,7134000.665212914
JAN,9290960.184786351
JUL,3345071.812905784
JUN,2888841.371970379
MAR,7236550.978116182
MAY,4038566.5264575626
NOV,7460234.588121353
OCT,5320959.0490144035
SEP,4426914.1743324185
APR,4724726.874269425
AUG,2965952.7950091073
DEC,9289497.690717138
FEB,8107820.24754791
JAN,8454421.033326037
JUL,3092900.765024483
JUN,3260448.3688457427
MAR,6965758.779528058
MAY,4079765.865199597
NOV,7306389.032288147
OCT,3806002.2689644694
SEP,2881156.9803698645
APR,5380906.431762323
AUG,2686310.660856558
DEC,7975134.114861212
FEB,8648002.900256023
JAN,10080734.509122584
JUL,2797997.715683415
JUN,3130415.0477881827
MAR,8425540.60110798
MAY,3580195.2172855693
NOV,6102649.529324063
OCT,3223606.904539548
SEP,2317682.4426853163
APR,3637837.456529918
AUG,2919385.509158044
DEC,9881953.689293377
FEB,6305769.031512076
JAN,7644174.930392731
JUL,2904316.005131535
JUN,2834938.2373798913
MAR,5524206.2752470225
MAY,3046210.753527066
NOV,8196212.474185492
OCT,5562564.1239552125
SEP,3978804.6280427095
APR,5073065.979853472
AUG,4146869.935482747
DEC,9466970.22485981
FEB,7495853.887001713
JAN,9158047.12592137
JUL,4404719.592819714
JUN,4372555.326803261
MAR,7269140.763370145
MAY,3921045.845098437
NOV,7570406.70682317
OCT,6480144.976587229
SEP,4915285.295269684
APR,3741126.152304238
AUG,3456465.3826467893
DEC,9624026.116107516
FEB,8344828.385147114
JAN,9740583.219199456
JUL,3589758.8784749787
JUN,3459027.6012025997
MAR,6661236.947478151
MAY,3272572.286071078
NOV,7502502.699311213
OCT,5534019.777752629
SEP,3615806.466887049
APR,6060412.959649631
AUG,4308500.676278657
DEC,10157939.171245536
FEB,9304965.95366857
JAN,10229587.410398468
JUL,3996315.921666509
JUN,4410972.746874819
MAR,8532430.321316103
MAY,5708954.105686369
NOV,7924623.020843336
OCT,6372833.394931762
SEP,4430988.533188593
APR,5567871.499427325
AUG,4276127.8804385485
DEC,8293714.357065583
FEB,8462929.162266733
JAN,9657922.021063546
JUL,4379655.723680602
JUN,4396361.15507693
MAR,8300181.015089032
MAY,4712378.8040927965
NOV,7260724.058488108
OCT,5564950.03365004
SEP,4165843.4711882356
APR,5924920.274131512
AUG,4215890.70114706
DEC,7852669.4882344855
FEB,8952171.088889668
JAN,8881408.02469358
JUL,4241344.5162654985
JUN,4639796.111738639
MAR,7496132.806193302
MAY,5005177.344608255
NOV,7626382.475548551
OCT,6055890.135012192
SEP,4023856.43144409
APR,7539515.64545182
AUG,5035899.6879539145
DEC,8627294.817534193
FEB,7725973.602817338
JAN,8412641.046687331
JUL,5082487.534098331
JUN,5121855.518774616
MAR,8432349.998314364
MAY,6497768.011143545
NOV,7708237.142861362
OCT,5719752.415005315
SEP,5024098.665048853
APR,5323637.703107282
AUG,4147147.793901394
DEC,7467903.413712593
FEB,6617229.016267697
JAN,7931299.008224232
JUL,3805222.375579541
JUN,3967627.163284307
MAR,6356495.580314633
MAY,5228243.241856238
NOV,6366999.904022529
OCT,5165370.139280835
SEP,4143032.3907288825
APR,3672911.7189997733
AUG,3556724.8417460634
DEC,4104544.1792116864
FEB,4442731.431332079
JAN,6657345.321777872
JUL,4173418.9645462427
JUN,4006710.8325443566
MAR,3931144.963889765
MAY,4332952.000398028
NOV,4016154.1868840824
OCT,3184877.0295074526
SEP,3280180.749080023
APR,4380695.115606386
AUG,3726672.2579869376
DEC,4062510.5931168124
FEB,4027380.669322877
JAN,4346959.848517687
JUL,3827370.9310199865
JUN,3775463.0778512764
MAR,4193406.905323674
MAY,4489283.167736046
NOV,3896988.31110981
OCT,3496391.50695232
SEP,3337695.2022507447
APR,3647468.577300314
AUG,3285674.3930034963
DEC,3685695.2578774206
FEB,3919378.330264267
JAN,4090260.549938148
JUL,3127880.386639041
JUN,2909939.722184335
MAR,3661013.6088915197
MAY,3194736.9033210212
NOV,3567104.6768336506
OCT,3249022.1899425336
SEP,2977835.8132923855
APR,2636040.736048273
AUG,2651512.7228496466
DEC,3172963.2942091958
FEB,2913444.6361301476
JAN,3465864.3239365667
JUL,2655769.913560606
JUN,2522804.9235878913
MAR,3629791.100806737
MAY,2801825.186585989
NOV,2943274.729204073
OCT,2457192.3500149297
SEP,2589250.9327565995
APR,2307779.875406775
AUG,2354530.245975751
DEC,2312809.268117393
FEB,2694396.414307111
JAN,3208065.078145513
JUL,2258575.4929953343
JUN,2362401.2748259334
MAR,2841224.897830887
MAY,2648484.9638369773
NOV,2223695.933233264
OCT,1752503.7710467307
SEP,2066956.7268830803
APR,1935852.16285115
AUG,1131304.223377115
DEC,1967491.6440232391
FEB,1976537.9716084742
JAN,2364991.8063833006
JUL,1215496.7426770057
JUN,1491033.9147558906
MAR,1751632.5452309342
MAY,2291417.348350867
NOV,1717846.73716459
OCT,1787647.5152820814
SEP,1151786.4382483056
APR,1780743.3710000003
AUG,1298699.3550000004
DEC,0.0
FEB,1612374.7620000015
JAN,2000582.499
JUL,1320975.0789999992
JUN,1131728.3169999996
MAR,1817961.1170000017
MAY,1717012.052999999
NOV,0.0
OCT,0.0
SEP,1142773.7400000014
